"","Ticker","Year","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","SharesSplitAdjusted","SplitFactor","Assets","CurrentsAssets","Liabilities","CurrentLiabilities","ShareholdersEquity","NonControllingInterest","PreferreEquity","GoodwillIntangibles","LongTermDebt","Revenue","Earnings","EarningsAvailableForCommonStockholders","EPS_Basic","EPS_Diluted","DividendPerShare","Cash_OperatingActivities","Cash_InvestingActivities","Cash_FinancingActivities","CashChangeDuringPeriod","CashEndPeriod","CapitalExpenditures","Price","PriceHigh","PriceLow","Roe","Roa","BookValue_EquityPerShare","PB_ratio","PE_ratio","CumulativeDividendsPerShare","DividendPayoutRatio","LongTermDebtToEquityRatio","EquityToAssetsRatio","NetMargin","AssetTurnover","FreeCashFlowPerShare","CurrentRatio","TobinsQ","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"1","A",2015,1,"Health Care",5,"A_quarterly_financial_data.xls","agilent technologies","agilent technologies inc","agilent technologies inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,0.00249164098247295,1e-04,-0.0216,0.00239164098247295,-0.0217,1.68092636605572,0.0388677431258822,-0.0363761021434092,2014,10,0.71,0.79,0.72,0.54,0.57,0.84,1,0,1
"2","A",2016,1,"Health Care",5,"A_quarterly_financial_data.xls","agilent technologies","agilent technologies inc","agilent technologies inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,0.0381864844949026,3e-04,0.0185,0.0378864844949026,0.0182,1.49082587746539,0.0107534535250326,0.02743303096987,2015,115,0.52,0.04,0.11,0,0.08,0.14,1,0,1
"3","A",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,86,0.55,0.06,0.11,0.01,0.09,0.14,1,0,1
"4","AAL",2015,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",603018015,603018015,1,4.8415e+10,9.985e+09,4.278e+10,1.3605e+10,5.635e+09,0,0,6.34e+09,1.833e+10,9.63e+09,3.281e+09,3.281e+09,5.24,5.09,0.1,2.28e+08,4.38e+08,-1.292e+09,-6.26e+08,3.9e+08,1.518e+09,42.26,47.09,37.42,NA,0.1587,9.34,7.08,6.01,537.83,0.0341,3.2529,0.1164,0.1857,0.86,-2.14,0.7339,NA,0.0260750014037183,1e-04,-0.0216,0.0259750014037183,-0.0217,0.790461094551201,0.0431280071554794,-0.0170530057517611,2014,243,0.29,0.05,0.14,0.16,0.23,0.28,1,1,0
"5","AAL",2016,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",504154397,504154397,1,5.1274e+10,1.0324e+10,4.7489e+10,1.3872e+10,3.785e+09,0,0,6.264e+09,2.2489e+10,9.788e+09,2.89e+08,2.89e+08,0.57,0.55,0.1,6.27e+08,-1.056e+09,3.7e+08,-5.9e+07,3.22e+08,1.395e+09,43.48,50.64,36.33,0.6224,0.0526,7.51,5.13,4.67,538.23,0.0796,5.9416,0.0738,0.0666,0.79,-1.52,0.7442,NA,0.00536885531308151,3e-04,0.0185,0.00506885531308151,0.0182,1.2178070921272,-0.0170952337636336,0.0224640890767151,2015,271,0.3,0.01,0.03,0,0,0.1,1,1,0
"6","AAL",2017,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",473138683,473138683,1,5.1396e+10,9.146e+09,4.747e+10,1.4964e+10,3.926e+09,0,0,6.294e+09,2.2511e+10,1.06e+10,2.58e+08,2.58e+08,0.54,0.54,0.1,4.37e+08,-5.57e+08,7.5e+07,-4.5e+07,2.95e+08,1.408e+09,49.51,53.74,45.27,0.5102,0.0366,8.3,6,12.63,538.63,0.1006,5.7338,0.0764,0.0455,0.8,-2.05,0.6112,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,179,0.39,0,0.05,0.03,0.06,0.1,1,1,0
"7","AAP",2015,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,-0.0776619401798879,1e-04,-0.0216,-0.0777619401798879,-0.0217,0.100695664640629,-0.0755768442571862,-0.00208509592270166,2014,435,0,0,0,0,0,0,0,0,0
"8","AAP",2016,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",73761599,73761599,1,8315033000,5172764000,5398841000,3676046000,2916192000,0,0,1631780000,1042949000,2082891000,62365000,62365000,0.83,0.85,0.06,91457000,-56642000,-18388000,15684000,135178000,67652000,155.96,177.83,134.08,0.1649,0.0547,39.54,4.02,25.61,2.64,0.0385,0.3576,0.3507,0.048,1.14,0.32,1.4072,1.46,-0.00319972976766677,3e-04,0.0185,-0.00349972976766677,0.0182,1.26417466235082,-0.0265077086224517,0.023307978854785,2015,428,0.1,0,0,0,0,0.1,0,0,0
"9","AAP",2017,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",73978120,73978120,1,8482301000,5426892000,5067105000,3480097000,3415196000,0,0,1591967000,1044327000,2036986000,184500000,184500000,2.5,2.49,0.06,199800000,-23819000,7027000,183635000,546937000,35045000,93.3,107.79,78.81,0.1486,0.0562,46.16,2.13,19.52,2.88,0.0373,0.3058,0.4026,0.0507,1.11,2.23,1.5594,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,430,0.16,0,0.06,0,0,0.1,0,0,0
"10","AAPL",2015,4,"Information Technology",7,"AAPL_quarterly_financial_data.xls","apple","apple inc","apple inc",5544583000,5544583000,1,2.93284e+11,7.6219e+10,1.65017e+11,7.6092e+10,1.28267e+11,0,0,9.126e+09,5.3204e+10,7.5872e+10,1.8361e+10,1.8361e+10,3.3,3.28,0.52,2.7463e+10,-2.045e+10,-1.1444e+10,-4.431e+09,1.6689e+10,4.006e+09,114.69,123.82,105.57,0.4279,0.1922,23.13,5.36,12.47,6.36,0.2132,0.4148,0.4373,0.2287,0.84,4.23,1.0017,2.17,-0.116790321037508,1e-04,-0.0216,-0.116890321037508,-0.0217,1.11977964123371,-0.0925911028227361,-0.0241992182147715,2014,48,0.57,0.92,0.96,0.96,0.94,0.01,0,0,0
