"","Ticker","Year","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio","TobinsQ","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"1","A",2013,1,"Health Care",5,"A_quarterly_financial_data.xls","agilent technologies","agilent technologies inc","agilent technologies inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.0686064516832906,0,0.0281,0.0686064516832906,0.0281,1.00869990729994,0.0402619842881623,0.0283444673951282,2014,10,0.71,0.79,0.72,0.54,0.57,0.84,1,0,1
"2","A",2014,1,"Health Care",5,"A_quarterly_financial_data.xls","agilent technologies","agilent technologies inc","agilent technologies inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,-0.043027761230417,0,-6e-04,-0.043027761230417,-6e-04,0.314711639070007,-0.042838934246975,-0.000188826983442004,2015,115,0.52,0.04,0.11,0,0.08,0.14,1,0,1
"3","A",2015,1,"Health Care",5,"A_quarterly_financial_data.xls","agilent technologies","agilent technologies inc","agilent technologies inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,0.00249164098247295,1e-04,-0.0216,0.00239164098247295,-0.0217,1.68092636605572,0.0388677431258822,-0.0363761021434092,2016,86,0.55,0.06,0.11,0.01,0.09,0.14,1,0,1
"4","AAL",2013,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",471517102,471517102,1,4.2278e+10,1.4323e+10,4.5009e+10,1.3806e+10,-2.731e+09,0,3.833e+09,6.44e+09,1.5353e+10,7.368e+09,-2.002e+09,-2.002e+09,-3.42,-3.42,0,-1.128e+09,1.278e+09,2.73e+08,4.23e+08,1.14e+09,6.13e+08,25.61,26.61,24.6,NA,-0.0616,-13.92,NA,1.53,537.23,NA,NA,NA,NA,0.9,-3.69,1.0374,0.36,0.0726772202006067,0,0.0281,0.0726772202006067,0.0281,4.00362770015547,-0.0398247181737621,0.112501938374369,2014,243,0.29,0.05,0.14,0.16,0.23,0.28,1,1,0
"5","AAL",2014,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",696649850,696649850,1,4.3771e+10,1.2112e+10,4.175e+10,1.3435e+10,2.021e+09,0,0,6.331e+09,1.6196e+10,1.0161e+10,5.96e+08,5.96e+08,0.85,0.83,0.1,8.04e+08,-7.86e+08,-2.02e+08,-1.84e+08,9.94e+08,1.296e+09,41.11,53.63,28.58,0.9952,0.0653,2.9,5.93,NA,537.43,0.0491,8.0139,0.0462,0.0676,0.97,-0.71,0.9015,NA,0.0999266523358293,0,-6e-04,0.0999266523358293,-6e-04,0.577307617946443,0.100273036906597,-0.000346384570767866,2015,271,0.3,0.01,0.03,0,0,0.1,1,1,0
"6","AAL",2015,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",603018015,603018015,1,4.8415e+10,9.985e+09,4.278e+10,1.3605e+10,5.635e+09,0,0,6.34e+09,1.833e+10,9.63e+09,3.281e+09,3.281e+09,5.24,5.09,0.1,2.28e+08,4.38e+08,-1.292e+09,-6.26e+08,3.9e+08,1.518e+09,42.26,47.09,37.42,NA,0.1587,9.34,7.08,6.01,537.83,0.0341,3.2529,0.1164,0.1857,0.86,-2.14,0.7339,NA,0.0260750014037183,1e-04,-0.0216,0.0259750014037183,-0.0217,0.790461094551201,0.0431280071554794,-0.0170530057517611,2016,179,0.39,0,0.05,0.03,0.06,0.1,1,1,0
"7","AAP",2013,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",72926574,72926574,1,5564774000,3989384000,4048569000,2764785000,1516205000,0,0,249707000,1052668000,1408813000,49267000,49267000,0.68,0.66,0.06,146783000,-44727000,443114000,545170000,1112471000,88580000,96.11,111.94,80.28,0.2787,0.0779,20.79,4.77,17.35,1.92,0.0447,0.6943,0.2725,0.0603,1.29,0.8,1.4429,1.42,0.0919770162884498,0,0.0281,0.0919770162884498,0.0281,0.973092713091747,0.0646331110505717,0.0273439052378781,2014,435,0,0,0,0,0,0,0,0,0
"8","AAP",2014,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,0.0800635885031415,0,-6e-04,0.0800635885031415,-6e-04,1.94587936650084,0.081231116123042,-0.00116752761990051,2015,428,0.1,0,0,0,0,0.1,0,0,0
"9","AAP",2015,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,-0.0776619401798879,1e-04,-0.0216,-0.0777619401798879,-0.0217,0.100695664640629,-0.0755768442571862,-0.00208509592270166,2016,430,0.16,0,0.06,0,0,0.1,0,0,0
"10","AAPL",2013,4,"Information Technology",7,"AAPL_quarterly_financial_data.xls","apple","apple inc","apple inc",891989000,6243923000,7,2.25184e+11,8.0347e+10,9.55e+10,5.3769e+10,1.29684e+11,0,0,6.127e+09,1.6961e+10,5.7594e+10,1.3072e+10,1.3072e+10,14.59,14.5,3.05,2.267e+10,-1.5103e+10,-7.749e+09,-1.82e+08,1.4077e+10,2.044e+09,74.97,82.16,67.77,0.2893,0.1792,20.77,3.82,13.24,2.47,0.2896,0.1308,0.5759,0.2128,0.84,3.3,1.4943,2.18,0.00886221349606508,0,0.0281,0.00886221349606508,0.0281,-0.0533221761606803,0.0103605666461802,-0.00149835315011512,2014,48,0.57,0.92,0.96,0.96,0.94,0.01,0,0,0
