"","Ticker","Year","ResearchAndDevelopment"
"1","A",2013,7.04e+08
"2","A",2014,7.19e+08
"3","A",2015,3.3e+08
"4","A",2016,3.29e+08
"5","A",2017,3.39e+08
"7","AAL",2013,NA
"8","AAL",2014,NA
"9","AAL",2015,NA
"10","AAL",2016,NA
"11","AAL",2017,NA
"13","AAP",2013,NA
"14","AAP",2014,NA
"15","AAP",2015,NA
"16","AAP",2016,NA
"17","AAP",2017,NA
"19","AAPL",2013,4.475e+09
"20","AAPL",2014,6.041e+09
"21","AAPL",2015,8.067e+09
"22","AAPL",2016,1.0045e+10
"23","AAPL",2017,1.1581e+10
"25","ABBV",2013,3.193e+09
"26","ABBV",2014,3.649e+09
"27","ABBV",2015,4.435e+09
"28","ABBV",2016,4.566e+09
"29","ABBV",2017,5.309e+09
"31","ABC",2013,NA
"32","ABC",2014,NA
"33","ABC",2015,NA
"34","ABC",2016,NA
"35","ABC",2017,NA
"37","ABT",2013,1.452e+09
"38","ABT",2014,1.345e+09
"39","ABT",2015,1.405e+09
"40","ABT",2016,1.422e+09
"41","ABT",2017,2.235e+09
"43","ADM",2013,NA
"44","ADM",2014,NA
"45","ADM",2015,NA
"46","ADM",2016,NA
"47","ADM",2017,NA
"49","ADP",2013,NA
"50","ADP",2014,NA
"51","ADP",2015,NA
"52","ADP",2016,NA
"53","ADP",2017,NA
"55","ADS",2013,NA
"56","ADS",2014,NA
"57","ADS",2015,NA
"58","ADS",2016,NA
"59","ADS",2017,NA
"61","ADSK",2013,6.11e+08
"62","ADSK",2014,7.25e+08
"63","ADSK",2015,7.9e+08
"64","ADSK",2016,7.66e+08
"65","ADSK",2017,7.56e+08
"67","AIG",2013,NA
"68","AIG",2014,NA
"69","AIG",2015,NA
"70","AIG",2016,NA
"71","AIG",2017,NA
"73","AKAM",2013,9.4e+07
"74","AKAM",2014,1.25e+08
"75","AKAM",2015,1.49e+08
"76","AKAM",2016,1.68e+08
"77","AKAM",2017,2.22e+08
"79","ALL",2013,NA
"80","ALL",2014,NA
"81","ALL",2015,NA
"82","ALL",2016,NA
"83","ALL",2017,NA
"85","ALXN",2013,3.17e+08
"86","ALXN",2014,5.14e+08
"87","ALXN",2015,7.09e+08
"88","ALXN",2016,7.57e+08
"89","ALXN",2017,8.78e+08
"91","AMAT",2013,1.32e+09
"92","AMAT",2014,1.428e+09
"93","AMAT",2015,1.451e+09
"94","AMAT",2016,1.54e+09
"95","AMAT",2017,1.774e+09
"97","AME",2013,NA
"98","AME",2014,NA
"99","AME",2015,NA
"100","AME",2016,NA
"101","AME",2017,NA
"103","AMG",2013,NA
"104","AMG",2014,NA
"105","AMG",2015,NA
"106","AMG",2016,NA
"107","AMG",2017,NA
"109","AMZN",2013,NA
"110","AMZN",2014,NA
"111","AMZN",2015,NA
"112","AMZN",2016,NA
"113","AMZN",2017,NA
"115","ANDV",2013,NA
"116","ANDV",2014,NA
"117","ANDV",2015,NA
"118","ANDV",2016,NA
"119","ANDV",2017,NA
"121","APA",2013,NA
"122","APA",2014,NA
"123","APA",2015,NA
"124","APA",2016,NA
"125","APA",2017,NA
"127","APC",2013,NA
"128","APC",2014,NA
"129","APC",2015,NA
"130","APC",2016,NA
"131","APC",2017,NA
"133","APH",2013,NA
"134","APH",2014,NA
"135","APH",2015,NA
"136","APH",2016,NA
"137","APH",2017,NA
"139","ATVI",2013,5.84e+08
"140","ATVI",2014,5.71e+08
"141","ATVI",2015,6.46e+08
"142","ATVI",2016,9.58e+08
"143","ATVI",2017,1.069e+09
"145","AVB",2013,NA
"146","AVB",2014,NA
"147","AVB",2015,NA
"148","AVB",2016,NA
"149","AVB",2017,NA
"151","AWK",2013,NA
"152","AWK",2014,NA
"153","AWK",2015,NA
"154","AWK",2016,NA
"155","AWK",2017,NA
"157","AXP",2013,NA
"158","AXP",2014,NA
"159","AXP",2015,NA
"160","AXP",2016,NA
"161","AXP",2017,NA
"163","AZO",2013,NA
"164","AZO",2014,NA
"165","AZO",2015,NA
"166","AZO",2016,NA
"167","AZO",2017,NA
"169","BA",2013,3.071e+09
"170","BA",2014,3.047e+09
"171","BA",2015,3.331e+09
"172","BA",2016,4.627e+09
"173","BA",2017,3.179e+09
"175","BAC",2013,NA
"176","BAC",2014,NA
"177","BAC",2015,NA
"178","BAC",2016,NA
"179","BAC",2017,NA
"181","BBT",2013,NA
"182","BBT",2014,NA
"183","BBT",2015,NA
"184","BBT",2016,NA
"185","BBT",2017,NA
"187","BCR",2013,2.03e+08
"188","BCR",2014,2.96e+08
"189","BCR",2015,3.02e+08
"190","BCR",2016,2.59e+08
"191","BCR",2017,2.93e+08
"193","BDX",2013,4.94e+08
"194","BDX",2014,5.5e+08
"195","BDX",2015,6.32e+08
"196","BDX",2016,8.28e+08
"197","BDX",2017,7.74e+08
"199","BEN",2013,NA
"200","BEN",2014,NA
"201","BEN",2015,NA
"202","BEN",2016,NA
"203","BEN",2017,NA
"205","BF.A",2013,NA
"206","BF.A",2014,NA
"207","BF.A",2015,NA
"208","BF.A",2016,NA
"209","BF.A",2017,NA
"211","BG",2013,NA
"212","BG",2014,NA
"213","BG",2015,NA
"214","BG",2016,NA
"215","BG",2017,NA
"217","BHI",2013,5.56e+08
"218","BHI",2014,6.13e+08
"219","BHI",2015,4.83e+08
"220","BHI",2016,3.84e+08
"221","BHI",2017,NA
"223","BIIB",2013,1.444e+09
"224","BIIB",2014,1.893e+09
"225","BIIB",2015,2.013e+09
"226","BIIB",2016,1.973e+09
"227","BIIB",2017,2.374e+09
"229","BLL",2013,NA
"230","BLL",2014,NA
"231","BLL",2015,NA
"232","BLL",2016,NA
"233","BLL",2017,NA
"235","BMRN",2013,3.55e+08
"236","BMRN",2014,4.62e+08
"237","BMRN",2015,6.35e+08
"238","BMRN",2016,6.62e+08
"239","BMRN",2017,6.11e+08
"241","BMY",2013,3.731e+09
"242","BMY",2014,4.534e+09
"243","BMY",2015,5.92e+09
"244","BMY",2016,4.94e+09
"245","BMY",2017,6.411e+09
"247","BSX",2013,8.61e+08
"248","BSX",2014,8.17e+08
"249","BSX",2015,8.76e+08
"250","BSX",2016,9.2e+08
"251","BSX",2017,9.97e+08
"253","CA",2013,4.9e+08
"254","CA",2014,5.87e+08
"255","CA",2015,6.03e+08
"256","CA",2016,5.6e+08
"257","CA",2017,5.86e+08
"259","CAG",2013,NA
"260","CAG",2014,NA
"261","CAG",2015,NA
"262","CAG",2016,NA
"263","CAG",2017,NA
"265","CAH",2013,NA
"266","CAH",2014,NA
"267","CAH",2015,NA
"268","CAH",2016,NA
"269","CAH",2017,NA
"271","CAM",2013,NA
"272","CAM",2014,NA
"273","CAM",2015,NA
"274","CAM",2016,NA
"275","CAM",2017,NA
"277","CAT",2013,2.046e+09
"278","CAT",2014,2.135e+09
"279","CAT",2015,2.165e+09
"280","CAT",2016,1.951e+09
"281","CAT",2017,1.905e+09
"283","CBG",2013,NA
"284","CBG",2014,NA
"285","CBG",2015,NA
"286","CBG",2016,NA
"287","CBG",2017,NA
"289","CBS",2013,NA
"290","CBS",2014,NA
"291","CBS",2015,NA
"292","CBS",2016,NA
"293","CBS",2017,NA
"295","CCI",2013,NA
"296","CCI",2014,NA
"297","CCI",2015,NA
"298","CCI",2016,NA
"299","CCI",2017,NA
"301","CE",2013,8.5e+07
"302","CE",2014,8.6e+07
"303","CE",2015,1.19e+08
"304","CE",2016,7.8e+07
"305","CE",2017,7.2e+07
"307","CELG",2013,2.226e+09
"308","CELG",2014,2.431e+09
"309","CELG",2015,3.697e+09
"310","CELG",2016,4.47e+09
"311","CELG",2017,5.915e+09
"313","CERN",2013,3.39e+08
"314","CERN",2014,3.93e+08
"315","CERN",2015,5.4e+08
"316","CERN",2016,5.51e+08
"317","CERN",2017,6.05e+08
"319","CF",2013,NA
"320","CF",2014,NA
"321","CF",2015,NA
"322","CF",2016,NA
"323","CF",2017,NA
"325","CHD",2013,NA
"326","CHD",2014,NA
"327","CHD",2015,NA
"328","CHD",2016,NA
"329","CHD",2017,NA
"331","CHRW",2013,NA
"332","CHRW",2014,NA
"333","CHRW",2015,NA
"334","CHRW",2016,NA
"335","CHRW",2017,NA
"337","CL",2013,NA
"338","CL",2014,NA
"339","CL",2015,NA
"340","CL",2016,NA
"341","CL",2017,NA
"343","CLR",2013,NA
"344","CLR",2014,NA
"345","CLR",2015,NA
"346","CLR",2016,NA
"347","CLR",2017,NA
"349","CLX",2013,1.3e+08
"350","CLX",2014,1.25e+08
"351","CLX",2015,1.36e+08
"352","CLX",2016,1.41e+08
"353","CLX",2017,1.35e+08
"355","CMCSA",2013,NA
"356","CMCSA",2014,NA
"357","CMCSA",2015,NA
"358","CMCSA",2016,NA
"359","CMCSA",2017,NA
"361","CNP",2013,NA
"362","CNP",2014,NA
"363","CNP",2015,NA
"364","CNP",2016,NA
"365","CNP",2017,NA
"367","CNX",2013,NA
"368","CNX",2014,NA
"369","CNX",2015,NA
"370","CNX",2016,NA
"371","CNX",2017,NA
"373","COH",2013,NA
"374","COH",2014,NA
"375","COH",2015,NA
"376","COH",2016,NA
"377","COH",2017,NA
"379","COL",2013,NA
"380","COL",2014,NA
"381","COL",2015,NA
"382","COL",2016,NA
"383","COL",2017,NA
"385","COP",2013,NA
"386","COP",2014,NA
"387","COP",2015,NA
"388","COP",2016,NA
"389","COP",2017,NA
"391","COST",2013,NA
"392","COST",2014,NA
"393","COST",2015,NA
"394","COST",2016,NA
"395","COST",2017,NA
"397","CPB",2013,1.28e+08
"398","CPB",2014,1.21e+08
"399","CPB",2015,1.13e+08
"400","CPB",2016,1.24e+08
"401","CPB",2017,9.8e+07
"403","CRM",2013,6.24e+08
"404","CRM",2014,7.93e+08
"405","CRM",2015,9.46e+08
"406","CRM",2016,1.208e+09
"407","CRM",2017,1.553e+09
"409","CSCO",2013,5.942e+09
"410","CSCO",2014,6.294e+09
"411","CSCO",2015,6.207e+09
"412","CSCO",2016,6.296e+09
"413","CSCO",2017,6.059e+09
"415","CTSH",2013,NA
"416","CTSH",2014,NA
"417","CTSH",2015,NA
"418","CTSH",2016,NA
"419","CTSH",2017,NA
"421","CTXS",2013,5.16e+08
"422","CTXS",2014,5.54e+08
"423","CTXS",2015,5.64e+08
"424","CTXS",2016,4.89e+08
"425","CTXS",2017,4.16e+08
"427","CVS",2013,NA
"428","CVS",2014,NA
"429","CVS",2015,NA
"430","CVS",2016,NA
"431","CVS",2017,NA
"433","CVX",2013,NA
"434","CVX",2014,NA
"435","CVX",2015,NA
"436","CVX",2016,NA
"437","CVX",2017,NA
"439","D",2013,NA
"440","D",2014,NA
"441","D",2015,NA
"442","D",2016,NA
"443","D",2017,NA
"445","DD",2013,2.067e+09
"446","DD",2014,2.153e+09
"447","DD",2015,2.067e+09
"448","DD",2016,1.898e+09
"449","DD",2017,1.641e+09
"451","DE",2013,1.477e+09
"452","DE",2014,1.452e+09
"453","DE",2015,1.425e+09
"454","DE",2016,1.389e+09
"455","DE",2017,1.368e+09
"457","DFS",2013,NA
"458","DFS",2014,NA
"459","DFS",2015,NA
"460","DFS",2016,NA
"461","DFS",2017,NA
"463","DG",2013,NA
"464","DG",2014,NA
"465","DG",2015,NA
"466","DG",2016,NA
"467","DG",2017,NA
"469","DGX",2013,NA
"470","DGX",2014,NA
"471","DGX",2015,NA
"472","DGX",2016,NA
"473","DGX",2017,NA
"475","DHR",2013,1.25e+09
"476","DHR",2014,1.314e+09
"477","DHR",2015,1.239e+09
"478","DHR",2016,9.75e+08
"479","DHR",2017,1.129e+09
"481","DIS",2013,NA
"482","DIS",2014,NA
"483","DIS",2015,NA
"484","DIS",2016,NA
"485","DIS",2017,NA
"487","DISCA",2013,NA
"488","DISCA",2014,NA
"489","DISCA",2015,NA
"490","DISCA",2016,NA
"491","DISCA",2017,NA
"493","DOV",2013,NA
"494","DOV",2014,NA
"495","DOV",2015,NA
"496","DOV",2016,NA
"497","DOV",2017,NA
"499","DPS",2013,NA
"500","DPS",2014,NA
"501","DPS",2015,NA
"502","DPS",2016,NA
"503","DPS",2017,NA
"505","DTE",2013,NA
"506","DTE",2014,NA
"507","DTE",2015,NA
"508","DTE",2016,NA
"509","DTE",2017,NA
"511","DUK",2013,NA
"512","DUK",2014,NA
"513","DUK",2015,NA
"514","DUK",2016,NA
"515","DUK",2017,NA
"517","DVA",2013,NA
"518","DVA",2014,NA
"519","DVA",2015,NA
"520","DVA",2016,NA
"521","DVA",2017,NA
"523","DVN",2013,NA
"524","DVN",2014,NA
"525","DVN",2015,NA
"526","DVN",2016,NA
"527","DVN",2017,NA
"529","EBAY",2013,NA
"530","EBAY",2014,NA
"531","EBAY",2015,NA
"532","EBAY",2016,NA
"533","EBAY",2017,NA
"535","ECL",2013,NA
"536","ECL",2014,NA
"537","ECL",2015,NA
"538","ECL",2016,NA
"539","ECL",2017,NA
"541","EMN",2013,1.93e+08
"542","EMN",2014,2.27e+08
"543","EMN",2015,2.51e+08
"544","EMN",2016,2.19e+08
"545","EMN",2017,2.15e+08
"547","EMR",2013,NA
"548","EMR",2014,NA
"549","EMR",2015,NA
"550","EMR",2016,NA
"551","EMR",2017,NA
"553","EOG",2013,NA
"554","EOG",2014,NA
"555","EOG",2015,NA
"556","EOG",2016,NA
"557","EOG",2017,NA
"559","EPD",2013,NA
"560","EPD",2014,NA
"561","EPD",2015,NA
"562","EPD",2016,NA
"563","EPD",2017,NA
"565","EQIX",2013,NA
"566","EQIX",2014,NA
"567","EQIX",2015,NA
"568","EQIX",2016,NA
"569","EQIX",2017,NA
"571","EQR",2013,NA
"572","EQR",2014,NA
"573","EQR",2015,NA
"574","EQR",2016,NA
"575","EQR",2017,NA
"577","EQT",2013,NA
"578","EQT",2014,NA
"579","EQT",2015,NA
"580","EQT",2016,NA
"581","EQT",2017,NA
"583","ETP",2013,NA
"584","ETP",2014,NA
"585","ETP",2015,NA
"586","ETP",2016,NA
"587","ETP",2017,NA
"589","EXPE",2013,5.78e+08
"590","EXPE",2014,6.86e+08
"591","EXPE",2015,8.3e+08
"592","EXPE",2016,1.235e+09
"593","EXPE",2017,1.387e+09
"595","EXR",2013,NA
"596","EXR",2014,NA
"597","EXR",2015,NA
"598","EXR",2016,NA
"599","EXR",2017,NA
"601","F",2013,NA
"602","F",2014,NA
"603","F",2015,NA
"604","F",2016,NA
"605","F",2017,NA
"607","FAST",2013,NA
"608","FAST",2014,NA
"609","FAST",2015,NA
"610","FAST",2016,NA
"611","FAST",2017,NA
"613","FB",2013,1.415e+09
"614","FB",2014,2.666e+09
"615","FB",2015,4.816e+09
"616","FB",2016,5.919e+09
"617","FB",2017,7.754e+09
"619","FDX",2013,NA
"620","FDX",2014,NA
"621","FDX",2015,NA
"622","FDX",2016,NA
"623","FDX",2017,NA
"625","FE",2013,NA
"626","FE",2014,NA
"627","FE",2015,NA
"628","FE",2016,NA
"629","FE",2017,NA
"631","FITB",2013,NA
"632","FITB",2014,NA
"633","FITB",2015,NA
"634","FITB",2016,NA
"635","FITB",2017,NA
"637","FLT",2013,NA
"638","FLT",2014,NA
"639","FLT",2015,NA
"640","FLT",2016,NA
"641","FLT",2017,NA
"643","FNMA",2013,NA
"644","FNMA",2014,NA
"645","FNMA",2015,NA
"646","FNMA",2016,NA
"647","FNMA",2017,NA
"649","GILD",2013,2.12e+09
"650","GILD",2014,2.854e+09
"651","GILD",2015,3.014e+09
"652","GILD",2016,5.098e+09
"653","GILD",2017,3.734e+09
"655","GIS",2013,NA
"656","GIS",2014,NA
"657","GIS",2015,NA
"658","GIS",2016,NA
"659","GIS",2017,NA
"661","GLW",2013,7.1e+08
"662","GLW",2014,8.15e+08
"663","GLW",2015,7.69e+08
"664","GLW",2016,7.42e+08
"665","GLW",2017,8.6e+08
"667","GM",2013,NA
"668","GM",2014,NA
"669","GM",2015,NA
"670","GM",2016,NA
"671","GM",2017,NA
"673","GPC",2013,NA
"674","GPC",2014,NA
"675","GPC",2015,NA
"676","GPC",2016,NA
"677","GPC",2017,NA
"679","GPS",2013,NA
"680","GPS",2014,NA
"681","GPS",2015,NA
"682","GPS",2016,NA
"683","GPS",2017,NA
"685","HES",2013,NA
"686","HES",2014,NA
"687","HES",2015,NA
"688","HES",2016,NA
"689","HES",2017,NA
"691","HIG",2013,NA
"692","HIG",2014,NA
"693","HIG",2015,NA
"694","HIG",2016,NA
"695","HIG",2017,NA
"697","HOG",2013,NA
"698","HOG",2014,NA
"699","HOG",2015,NA
"700","HOG",2016,NA
"701","HOG",2017,NA
"703","HON",2013,NA
"704","HON",2014,NA
"705","HON",2015,NA
"706","HON",2016,NA
"707","HON",2017,NA
"709","HOT",2013,NA
"710","HOT",2014,NA
"711","HOT",2015,NA
"712","HOT",2016,NA
"713","HOT",2017,NA
"715","HRL",2013,NA
"716","HRL",2014,NA
"717","HRL",2015,NA
"718","HRL",2016,NA
"719","HRL",2017,NA
"721","HUM",2013,NA
"722","HUM",2014,NA
"723","HUM",2015,NA
"724","HUM",2016,NA
"725","HUM",2017,NA
"727","IBM",2013,6.226e+09
"728","IBM",2014,5.437e+09
"729","IBM",2015,5.247e+09
"730","IBM",2016,5.751e+09
"731","IBM",2017,5.787e+09
"733","ICE",2013,NA
"734","ICE",2014,NA
"735","ICE",2015,NA
"736","ICE",2016,NA
"737","ICE",2017,NA
"739","IEP",2013,NA
"740","IEP",2014,NA
"741","IEP",2015,NA
"742","IEP",2016,NA
"743","IEP",2017,NA
"745","ILMN",2013,2.77e+08
"746","ILMN",2014,3.88e+08
"747","ILMN",2015,4.02e+08
"748","ILMN",2016,5.04e+08
"749","ILMN",2017,5.46e+08
"751","INCY",2013,2.6e+08
"752","INCY",2014,3.48e+08
"753","INCY",2015,4.8e+08
"754","INCY",2016,5.82e+08
"755","INCY",2017,1.326e+09
"757","L",2013,NA
"758","L",2014,NA
"759","L",2015,NA
"760","L",2016,NA
"761","L",2017,NA
"763","LB",2013,NA
"764","LB",2014,NA
"765","LB",2015,NA
"766","LB",2016,NA
"767","LB",2017,NA
"769","LH",2013,NA
"770","LH",2014,NA
"771","LH",2015,NA
"772","LH",2016,NA
"773","LH",2017,NA
"775","LLL",2013,NA
"776","LLL",2014,NA
"777","LLL",2015,NA
"778","LLL",2016,NA
"779","LLL",2017,NA
"781","LLTC",2013,2.24e+08
"782","LLTC",2014,2.35e+08
"783","LLTC",2015,2.5e+08
"784","LLTC",2016,2.67e+08
"785","LLTC",2017,2.76e+08
"787","LLY",2013,5.588e+09
"788","LLY",2014,4.934e+09
"789","LLY",2015,5.331e+09
"790","LLY",2016,5.274e+09
"791","LLY",2017,6.394e+09
"793","LMT",2013,NA
"794","LMT",2014,NA
"795","LMT",2015,NA
